smiles,pce_1,cluster
c1cnc(s1)-c1Cc(cc1)-c1ccc([se]1)-c1ccccn1,4.491849248538939,2
c1sc(C2=Cc3c(C2)c2ncccc2c2c[nH]cc32)c2occc12,1.5876906325495286,0
c1sc(-c2cc3oc4c(sc5ccc6c[nH]cc6c45)c3c3cscc23)c2ccsc12,2.856072506229005,1
c1cc2c3c[nH]cc3c3c([se]c4cc(-c5scc6[se]ccc56)c5nsnc5c34)c2o1,6.142109085306875,3
C1C=c2ccc3ccc4c([se]c5cc(C6=CC=CC6)c6=C[SiH2]C=c6c45)c3c2=C1,2.9414568231452254,1
c1sc(-c2ccc3c(c2)ncc2c3ccc3ccc4ccccc4c23)c2[nH]ccc12,1.8873138200510329,1
c1ccc(o1)-c1ccc2c(c1)c1cocc1c1c2c2c[nH]cc2c2ccc3=C[SiH2]C=c3c12,1.6928914597526332,0
c1cc2[se]c3cc(ncc3c2s1)-c1scc2occc12,2.747457830275847,1
C1C=c2c3C=CCc3cc(C3=Cc4c([SiH2]3)ccc3=C[SiH2]C=c43)c2=C1,0.9467792940506592,0
c1ccc(-c2cc3cnc4cc5ccc6=C[SiH2]C=c6c5cc4c3o2)c2=C[SiH2]C=c12,4.964675964310229,3
c1cc2cc3cnc4cc(oc4c3cc2[se]1)-c1cccc2c[nH]cc12,1.7487539472919238,0
[SiH2]1C=Cc2c1c1oc3cc(-c4scc5ccsc45)c4nsnc4c3c1c1cocc21,5.5456621124483245,3
[nH]1c(cc2[nH]c3c4ncccc4oc3c12)-c1ccc[se]1,1.2484610588073202,0
c1cc2cnc3c4ccc(cc4[se]c3c2c2cscc12)-c1ncncn1,4.02827257113468,2
c1cc2ncc3c4ccc(cc4sc3c2s1)-c1scc2C=CCc12,1.6355507665596072,0
[nH]1c2cc(oc2c2c1c1ncccc1c1=CCC=c21)-c1cncs1,2.217129849557753,1
c1cc2c3nsnc3c3cc4cc(-c5scc6[se]ccc56)c5=C[SiH2]C=c5c4cc3c2[se]1,5.686073036602226,3
C1C=CC=C1c1cc2sc3c4CC=Cc4c4ccccc4c3c2cn1,1.9682841496099588,1
c1sc(-c2cc3ncc4c(ccc5ccc6ccccc6c45)c3[se]2)c2ccoc12,2.9777674132761374,1
c1sc(-c2cc3ccc4c5cnccc5ccc4c3c3cocc23)c2[se]ccc12,2.678640177472688,1
C1C=c2c(cc3oc4c5[SiH2]C=Cc5c5ccccc5c4c3c2=C1)C1=CC=CC1,1.8157722888431176,0
C1C=Cc2c1c1c3cocc3c3cc([se]c3c1c1cscc21)-c1cccc2c[nH]cc12,0.3345411296801209,0
[nH]1c2ccc3ccccc3c2c2c1cc(-c1ccccc1)c1=C[SiH2]C=c21,1.760610908799842,0
c1ccc(cc1)-c1ccc2c(c1)c1c[nH]cc1c1ccc3ccccc3c21,5.249018343975963,3
[nH]1c2cc(-c3scc4cc[se]c34)c3cscc3c2c2c3nsnc3c3ccncc3c12,4.750994081326682,2
c1sc(-c2cc3ccc4cc5cccnc5cc4c3c3c[nH]cc23)c2occc12,2.228720715684114,1
c1cc2ncc3cc(ncc3c2s1)-c1scc2nccnc12,8.063457954718336,3
c1cc2Cc-3c(-[o]c4ccc5nsnc5c-34)-c2c2cscc12,4.602241179247718,2
[nH]1ccc2cc3c4cocc4c4cc([se]c4c3cc12)-c1cccnc1,1.8332656708063133,0
c1sc(c2C=C[SiH2]c12)-c1cc2c(c3cscc13)c1sc3ccccc3c1c1=CCC=c21,3.2348613781374644,2
